タイムスタンプ,総合点,仕事点,天気,通勤/外出,行きの座席,行きの駅,行き遅延,帰りの座席,帰りの駅,帰り遅延,不快なこと,日記,睡眠データ
2026/03/23,90,95,,電車通勤,座れた,横浜,5分,座れそうだったが女性に譲った,,10分,,,"睡眠時間: 7時間24分
覚醒: 13分
レム: 1時間12分
コア: 5時間2分
深い: 57分"
2026/03/24,80,90,,電車通勤,座らず,,,座らず,,,nopeがカフェイン入りだと気付かず飲んで夜中酷い目にあった,スマホの件進めた,"睡眠時間: 7時間15分
覚醒: 27分
レム: 1時間16分
コア: 4時間36分
深い: 56分"
2026/03/25,70,85,小雨/大雨,電車通勤,座れた,保土ヶ谷,3分,座れた,武蔵小杉,,スマホ禁止OUの最後の設定できなかった,睡眠不足で1時間時間休。朝、保土ヶ谷で座れたが、横浜駅で空いた隣の端の席をフラフラ歩いてたおじさんに取られ負けた。,"睡眠時間: 7時間8分
覚醒: 33分
レム: 1時間2分
コア: 4時間52分
深い: 41分"
2026/03/26,85,90,大雨,電車通勤,座れた,,2分,座れず,,なし,ずっとやりたかった制御設定完成したが、細かなAPIガードとかのけちはついた,スマホ制御が3日目にして成功した。,"睡眠時間: 7時間23分
覚醒: 22分
レム: 1時間14分
コア: 4時間49分
深い: 58分"
2026/03/27,75,85,,通勤なし(在宅),移動なし,,なし,移動なし,,なし,行き帰りの運転マナーの悪さ。自分の時間がなさすぎる。息子を早く寝かせる関係で自由時間30分以内はかなり辛い,仕事は忙しいが自分で整理して進められた。並行してプライベートのアプリ開発もできた。19時退勤後、息子を受診させるためイオンへ車移動（花粉症の薬）。クリニックは過去一番空いてて、薬も1ヶ月分まとめて処方してもらえた。薬局も普段の半分の20分待ち。会社の昼飯用の冷食も脂質低い新メニュー多く見つけた。,"睡眠時間: 7時間36分
覚醒: 35分
レム: 2時間3分
コア: 4時間18分
深い: 40分"
2026/03/28,90,90,晴れ,外出あり,移動なし,,なし,移動なし,,なし,,"深夜2時ごろ息子の夜泣き酷め
午前中ベビースイミングの送迎で運転は特にトラブルなし
昼寝せずパソコン使ってアプリ開発
f1予選まで観戦したが特に見どころなし
16時半から公園で向くか散歩に付き合ってボール遊びした
左足での蹴りが右足よりセンスある
多分本来は左利き人間だと思う
テニスボールはたいてバウンドさせてたら左手の人差し指に違和感覚えて感覚鈍くなって内出血
障害者施設の兄の生活保護費について対応と問い合わせ","睡眠時間: 6時間53分
覚醒: 37分
レム: 1時間14分
コア: 4時間30分
深い: 32分"
2026-03-29,95,100,晴れ,外出なし,移動なし,,なし,移動なし,,なし,,"よく寝られた
息子が自転車でみなとみらいへ出かける時泣いたらタイヤに空気入れたりちょっと大変だった
掃除機をしたと交換して念願の高性能タイプになってストレスが激減した
エアコンフィルター2つともしっかり掃除できた
f1日本GPを特に感情の起伏なくみおえて無事2020年末から続いたf1観戦を引退することができた
夫婦でコミュニケーション取れた
息子の散髪もできた、入園前のいいタイミング
アプリ開発も改良できた
加湿器も片付けられた
妻も横浜1人でバイクで行って帰ってこれた
いろいろやって疲れたけどいい1日でした","睡眠時間: 8時間45分
覚醒: 27分
レム: 2時間8分
コア: 4時間27分
深い: 1時間43分"
2026-03-30,75,80,晴れ,通勤あり,いいえ,,なし,いいえ,,なし,行きは変なおっさん2人が右と前にいた,"沖縄で抗議船乗ってそうなやつだった
仕事は始業早々イラッとくることあった
あの部長はロジ（妻との共通の敵）に似てて好きになれん
でもややこしい全社連絡と役員連絡済ませたので自分を褒めます！頑張った！
帰りは特に何もない。不愉快側から避けてくれた
寝不足なのでとにかく疲れた1日でした","睡眠時間: 7時間18分
覚醒: 22分
レム: 1時間35分
コア: 4時間47分
深い: 34分"
2026-03-31,70,90,雨,通勤あり,はい,横浜,3分,はい,西大井,5分,"行きは雨降ってて家にスマホ忘れてドタバタしたし会社着いたときにマジでうんざりって思ったから割と不快だった
帰りも横殴りの雨だし疲労と電車遅延と駅からの混雑というかタイミング悪い人とのすれ違いとかでかなり不愉快だった","雨と仕事でかなり疲れた日だった
仕事は朝会でドライブの構成案を相談して天啓に近い閃きが出てそれで進められそうなのはかなり良かった
大会議室の撤収作業がかなり大変で、両面テープが強力すぎるのと剥がす量が多すぎてかなり疲れた

一日雨だったからか疲労感もすごくいし、泰雅の理由不明なぐずりは精神的にかなり消耗する

仕事は悪くなかったけど、気分はイマイチな日でした","睡眠時間: 7時間12分
覚醒: 25分
レム: 1時間31分
コア: 4時間26分
深い: 50分"
2026-04-01,95,100,雨,外出あり,移動なし,,なし,移動なし,,なし,,"息子の保育園入園式だった
雨予報だったが入園式終わって帰宅するまで降らずに耐えてくれた
家帰ってから4人で西松屋とサミットへ
運転も特に問題なし
ただ妻と母買い物中に泰雅を面倒見続けるの大変だった
仕事も昨日発案した方法で部長承認取れたし特に嫌な思いもしなかった
息子も入園式とてもいい子にしてくれたので今日は文句なしの100点をつけます
総合点は疲れたので-5点","睡眠時間: 6時間34分
覚醒: 19分
レム: 57分
コア: 4時間48分
深い: 30分"
